Date,Lloyds_Close
2009-03-03,45.5
2009-03-04,47.7
2009-03-05,39.32
2009-03-06,42.0
2009-03-09,43.7
2009-03-10,50.8
2009-03-11,44.5
2009-03-12,45.7
2009-03-13,46.8
2009-03-16,47.2
2009-03-17,48.0
2009-03-18,47.6
2009-03-19,54.4
2009-03-20,55.3
2009-03-23,61.5
2009-03-24,58.0
2009-03-25,61.8
2009-03-26,69.0
2009-03-27,76.1
2009-03-30,64.8
2009-03-31,70.7
2009-04-01,71.0
2009-04-02,76.5
2009-04-03,79.2
2009-04-06,79.7
2009-04-07,72.9
2009-04-08,71.7
2009-04-09,79.5
2009-04-14,87.9
2009-04-15,84.1
2009-04-16,89.7
2009-04-17,104.6
2009-04-20,104.5
2009-04-21,95.0
2009-04-22,100.5
2009-04-23,96.0
2009-04-24,100.0
2009-04-27,100.5
2009-04-28,95.6
2009-04-29,103.5
2009-04-30,112.0
2009-05-01,109.6
2009-05-05,121.1
2009-05-06,113.2
2009-05-07,97.0
2009-05-08,100.7
2009-05-11,99.3
2009-05-12,89.1
2009-05-13,84.6
2009-05-14,87.8
2009-05-15,89.2
2009-05-18,98.0
2009-05-19,100.3
2009-05-20,70.5
2009-05-21,66.7
2009-05-22,68.6
2009-05-26,66.8
2009-05-27,65.5
2009-05-28,65.0
2009-05-29,68.0
2009-06-01,72.5
2009-06-02,69.5
2009-06-03,66.0
2009-06-04,67.1
2009-06-05,66.2
2009-06-08,61.1
2009-06-09,63.0
2009-06-10,65.0
2009-06-11,66.7
2009-06-12,65.3
2009-06-15,66.8
2009-06-16,69.3
2009-06-17,67.1
2009-06-18,69.3
2009-06-19,70.0
2009-06-22,67.85
2009-06-23,65.0
2009-06-24,67.57
2009-06-25,66.5
2009-06-26,66.49
2009-06-29,70.56
2009-06-30,69.93
2009-07-01,68.25
2009-07-02,65.9
2009-07-06,66.1
2009-07-07,66.0
2009-07-08,63.71
2009-07-09,63.3
2009-07-10,63.3
2009-07-13,64.51
2009-07-14,65.8
2009-07-15,68.73
2009-07-16,69.95
2009-07-17,67.5
2009-07-20,72.01
2009-07-21,73.44
2009-07-22,72.3
2009-07-23,76.15
2009-07-24,77.99
2009-07-27,83.33
2009-07-28,81.28
2009-07-29,83.8
2009-07-30,84.88
2009-07-31,85.0
2009-08-03,85.25
2009-08-04,84.27
2009-08-05,93.2
2009-08-06,104.7
2009-08-07,102.0
2009-08-10,97.89
2009-08-11,90.99
2009-08-12,96.83
2009-08-13,98.49
2009-08-14,99.5
2009-08-17,95.0
2009-08-18,96.76
2009-08-19,98.72
2009-08-20,101.25
2009-08-21,101.58
2009-08-24,107.97
2009-08-25,107.83
2009-08-26,108.47
2009-08-27,104.7
2009-08-28,111.34
2009-09-01,106.01
2009-09-02,99.41
2009-09-03,99.7
2009-09-04,101.78
2009-09-08,106.9
2009-09-09,106.2
2009-09-10,105.17
2009-09-11,105.01
2009-09-14,105.37
2009-09-15,104.7
2009-09-16,109.17
2009-09-17,109.68
2009-09-18,110.65
2009-09-21,107.6
2009-09-22,107.7
2009-09-23,108.9
2009-09-24,107.1
2009-09-25,103.45
2009-09-28,103.75
2009-09-29,104.8
2009-09-30,103.7
2009-10-01,99.23
2009-10-02,94.75
2009-10-05,94.96
2009-10-06,96.5
2009-10-07,95.66
2009-10-08,94.31
2009-10-09,94.0
2009-10-12,91.61
2009-10-13,89.72
2009-10-14,93.06
2009-10-15,91.41
2009-10-16,93.1
2009-10-19,92.0
2009-10-20,91.35
2009-10-21,91.5
2009-10-22,94.8
2009-10-23,96.23
2009-10-26,89.34
2009-10-27,83.84
2009-10-28,80.0
2009-10-29,86.0
2009-10-30,87.03
2009-11-02,85.0
2009-11-03,87.33
2009-11-04,86.29
2009-11-05,82.99
2009-11-06,84.8
2009-11-09,85.22
2009-11-10,85.21
2009-11-11,89.25
2009-11-12,90.0
2009-11-13,89.85
