Date,Lloyds_Close
03/03/2009,45.5
04/03/2009,47.7
05/03/2009,39.32
06/03/2009,42.0
09/03/2009,43.7
10/03/2009,50.8
11/03/2009,44.5
12/03/2009,45.7
13/03/2009,46.8
16/03/2009,47.2
17/03/2009,48.0
18/03/2009,47.6
19/03/2009,54.4
20/03/2009,55.3
23/03/2009,61.5
24/03/2009,58.0
25/03/2009,61.8
26/03/2009,69.0
27/03/2009,76.1
30/03/2009,64.8
31/03/2009,70.7
01/04/2009,71.0
02/04/2009,76.5
03/04/2009,79.2
06/04/2009,79.7
07/04/2009,72.9
08/04/2009,71.7
09/04/2009,79.5
14/04/2009,87.9
15/04/2009,84.1
16/04/2009,89.7
17/04/2009,104.6
20/04/2009,104.5
21/04/2009,95.0
22/04/2009,100.5
23/04/2009,96.0
24/04/2009,100.0
27/04/2009,100.5
28/04/2009,95.6
29/04/2009,103.5
30/04/2009,112.0
01/05/2009,109.6
05/05/2009,121.1
06/05/2009,113.2
07/05/2009,97.0
08/05/2009,100.7
11/05/2009,99.3
12/05/2009,89.1
13/05/2009,84.6
14/05/2009,87.8
15/05/2009,89.2
18/05/2009,98.0
19/05/2009,100.3
20/05/2009,70.5
21/05/2009,66.7
22/05/2009,68.6
26/05/2009,66.8
27/05/2009,65.5
28/05/2009,65.0
29/05/2009,68.0
01/06/2009,72.5
02/06/2009,69.5
03/06/2009,66.0
04/06/2009,67.1
05/06/2009,66.2
08/06/2009,61.1
09/06/2009,63.0
10/06/2009,65.0
11/06/2009,66.7
12/06/2009,65.3
15/06/2009,66.8
16/06/2009,69.3
17/06/2009,67.1
18/06/2009,69.3
19/06/2009,70.0
22/06/2009,67.85
23/06/2009,65.0
24/06/2009,67.57
25/06/2009,66.5
26/06/2009,66.49
29/06/2009,70.56
30/06/2009,69.93
01/07/2009,68.25
02/07/2009,65.9
06/07/2009,66.1
07/07/2009,66.0
08/07/2009,63.71
09/07/2009,63.3
10/07/2009,63.3
13/07/2009,64.51
14/07/2009,65.8
15/07/2009,68.73
16/07/2009,69.95
17/07/2009,67.5
20/07/2009,72.01
21/07/2009,73.44
22/07/2009,72.3
23/07/2009,76.15
24/07/2009,77.99
27/07/2009,83.33
28/07/2009,81.28
29/07/2009,83.8
30/07/2009,84.88
31/07/2009,85.0
03/08/2009,85.25
04/08/2009,84.27
05/08/2009,93.2
06/08/2009,104.7
07/08/2009,102.0
10/08/2009,97.89
11/08/2009,90.99
12/08/2009,96.83
13/08/2009,98.49
14/08/2009,99.5
17/08/2009,95.0
18/08/2009,96.76
19/08/2009,98.72
20/08/2009,101.25
21/08/2009,101.58
24/08/2009,107.97
25/08/2009,107.83
26/08/2009,108.47
27/08/2009,104.7
28/08/2009,111.34
01/09/2009,106.01
02/09/2009,99.41
03/09/2009,99.7
04/09/2009,101.78
08/09/2009,106.9
09/09/2009,106.2
10/09/2009,105.17
11/09/2009,105.01
14/09/2009,105.37
15/09/2009,104.7
16/09/2009,109.17
17/09/2009,109.68
18/09/2009,110.65
21/09/2009,107.6
22/09/2009,107.7
23/09/2009,108.9
24/09/2009,107.1
25/09/2009,103.45
